Project Name,Description,Id,Ref,Source,"Publishers (Name, Reference)",Currency,Commitment,Disbursment,"Donor (Name, reference, type)",Contract Signature Date,Final Date for Implementation,Recipients,Sectors,Contract Status,"Aid Types (Name, code)",Finance Type Code,Finance Type,Activity Flow Code,Activity Flow Type,Collaboration Type Code,Collaboration Type,"Transactions (Code, Type, Amount, Start date, End date, Implementing Partner ID, Implementing Partner name)","Markers (Id, name, type)"
"Battle Area Clearance, Explosive Ordnance Disposal and Risk Education to support post conflict recovery",Contribute to post-conflict recovery  and stability in Libya through reduction of the humanitarian threat posed by explosive remnants of war (ERW)Specific Objective 1: Reduce the overall threat from Abandoned Ordnance (AO) and Unexploded Ordnance (UXO) Specific Objective 2: Increase safe practices and behaviour of communities affected by ERW and small arms and light weapons (SALW)Specific Objective 3: Improved national capacity to address the threat posed by AO and UXO ,null,EC-FPI-2013/333-960,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1023981.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-12,2015-03-11,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,1023981.0,2014-Jan-23,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;3,Develop a global partnership framework,MDG;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
International Election Observation mission for the Elections in Ukraine 2014-2015,"To contribute towards a more transparent electoral process in Ukraine, through monitoring and reporting on the crucial aspects of the elections by implementing the best practices and standards for international observation of elections. It is in line with ENEMOs mission, referring to the manifestation of the free will of the people to elect and the opportunity to be elected.",null,EC-FPI-2014/343-412,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,810000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-05-01,2014-12-31,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,115000.0,2014-Sep-30,,230015575,EC;D,Disbursement,225000.0,2014-May-16,,230015575,EC;D,Disbursement,210000.0,2014-Sep-30,,230015575,EC;D,Disbursement,260000.0,2014-May-15,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Projet d'appui au recyclage de la formation de la Force de Sécurisation des Elections Présidentielles (FOSEP) au Togo en 2015,null,null,EC-FPI-2014/355-196,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,644959.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-12-30,2015-06-29,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,129000.0,2015-Feb-23,,230015575,EC;E,Expenditure,515959.0,2016-Feb-12,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Contribuer au renforcement des Assemblées législatives et à la consolidation du dialogue entre les partis politiques,"Lobjectif spécifique de laction est de renforcer la capacité daction et améliorer les modes de fonctionnement des deux chambres du parlement au cours des législatures couvertes par la période du projet comme à long terme à travers, notamment, un rôle renforcé des blocs politiques, une meilleure coordination avec les partis politiques, et un travail collaboratif autour de lagenda législatif.",null,EC-FPI-2013/335-319,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,553580.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2015-06-30,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,553580.0,2014-Jan-27,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Promotion du dialogue pour la réforme démocratique en Hati,null,null,EC-FPI-2013/335-318,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,540000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2015-06-30,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,391934.0,2014-Jan-27,,230015575,EC;D,Disbursement,148066.0,2015-Mar-27,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Policy Advice for Democratic Transition,null,null,EC-FPI-2013/335-289,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,393399.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-15,2015-01-14,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,149653.0,2015-Apr-23,,230015575,EC;E,Expenditure,143746.0,2015-Apr-26,,230015575,EC;E,Expenditure,100000.0,2014-Mar-02,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Mission d'observation électorale pour la présidentielle de 2015 au Togo,"Ce texte est publié dans différents rapports publics. Assurez-vous que la description soit suffisamment détaillée, claire et compréhensible. Faites particulièrement attention aux erreurs de frappe et évitez d'utiliser des acronymes ou de mentionner des noms de personnes.",null,EC-FPI-2014/355-083,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,389603.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-12-25,2015-06-24,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,320000.0,2015-Jan-21,,230015575,EC;D,Disbursement,69603.0,2015-Sep-18,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Reanimation Package of Reforms (RPR) - enhancement  of  constitutional,  anticorruption  and  legal reforms  in  Ukraine","Develop  emergent  changes  for  the  Ukrainian legislation  on  key  reforms:  anticorruption,  law enforcement, decentralization; Create  nationwide  communication platform  for civic society and think tanks reforms initiatives;",null,EC-FPI-2014/345-095,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,373179.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-06-01,2015-05-31,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,83417.0,2015-Oct-26,,230015575,EC;D,Disbursement,144881.0,2014-Sep-25,,230015575,EC;D,Disbursement,144881.0,2015-Jul-07,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG;3,Develop a global partnership framework,MDG"
Projet de prévention des conflits en période électorale,"Cette action vise à contribuer, à travers la mise en place dun mécanisme dalerte précoce, à linstauration dun environnement favorable à la prévention des conflits et à ladoption de comportements citoyens exemplaires à Lomé et dans chacune des cinq régions économiques du Togo.",null,EC-FPI-2014/354-926,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,128009.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-12-27,2015-06-26,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,104000.0,2015-Jan-27,,230015575,EC;D,Disbursement,24009.0,2015-Dec-08,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Confidence in recovery,"The project proposes to engage 3 activist groups (one group in Armenia and two in Azerbaijan) to establish centres of activity for other members of the community in the form of educational clubs at which other members of the community can gain or improve skills and knowledge that will broaden the range of educational or economic opportunities available to them, such as English language, computer skills, presentation skills/ interview  techniques or business skills.",null,EC-FPI-2013/332-010,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,108818.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-02-01,2015-05-31,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,108818.0,2014-Jan-23,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG;3,Develop a global partnership framework,MDG"
Monitoring activities in Abkhazia,null,null,EC-FPI-2013/334-627,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,71857.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2015-06-30,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,11057.0,2015-Oct-06,,230015575,EC;E,Expenditure,21000.0,2015-Apr-09,,230015575,EC;E,Expenditure,18800.0,2014-Mar-12,,230015575,EC;E,Expenditure,21000.0,2014-Sep-03,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Developing the Americas Media Monitor  OAS II,null,null,EC-FPI-2014/354-773,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,60000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-12-19,2015-12-18,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,30000.0,2015-Jul-08,,230015575,EC;D,Disbursement,30000.0,2016-Mar-29,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Support to conflict reduction through improved primary health services for vulnerable populations,The programme aims to reduce tension and promote social cohesion in particular within poor Lebanese communities hosting large numbers of Syrian refugees. This will be achieved through increased access to currently overstretched primary health service,null,XI-IATI-EC_FPI-2013/25002/0,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,2.0E7,0.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-11-20,,,Health,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"C,Commitment,2.0E7,2013-Nov-20,,230015587,United Nations agency, fund or commission (UN)","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;3,Develop a global partnership framework,MDG;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
ICRC activities for families of the missing in Georgia,"There are some 2,159 known cases of missing persons linked to the armed conflicts of the 90s and 2008.The purpose of the contract is to reinforce the International Committee of the Red Cross (ICRC) led process to recover, identify and hand over to the families the remains of missing conflict victims;more specifically, that families of missing persons are informed about the fate of their missing relatives through functioning mechanisms aimed at clarifying the fate of the missing.",null,EC-FPI-2014/353-151,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1170000.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2014-12-31,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,117000.0,2015-Oct-01,,;D,Disbursement,1053000.0,2015-Apr-06,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Consolidation de laction des plateformes dinformation, dorientation professionnelle et daccompagnement des jeunes dans les régions du Nord du Niger (Agadez et Tahoua)","1. Consolider les services d'information, d'orientation professionnelle et d'accompagnement des jeunes proposés dans les plateformes2. Consolider l'autonomisation et le positionnement des dispositifs dinsertion dans le contexte local (institutions, partenaires, prestataires, public cible)",null,EC-FPI-2014/334-930,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,270830.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-01-01,2014-09-30,,Social Infrastructure and Services,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,34655.0,2015-Mar-17,,230015575,EC;D,Disbursement,236175.0,2014-Apr-18,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Supply of equipement for a Crisis Response Center in NayPyiTaw, Myanmar - LOT1",Lot 1: ICT equipment,null,EC-FPI-2014/342-589,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,256712.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2014-04-21,2014-06-05,,Disaster Prevention and Preparedness,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,20,(IATI) OOF,1,Bilateral,"E,Expenditure,256712.0,2014-Jul-11,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
